Title,Price,Desc
                        Apartment Hagedoornplein                            ,"                €2,995 per month            ",140 m²4 roomsUpholstered
                        Apartment Wijdesteeg                            ,"                €2,175 per month            ",65 m²2 roomsFurnished
                        Apartment Juliana van Stolbergstraat                            ,"                €1,600 per month            ",55 m²3 roomsUpholstered
                        Apartment Lutmastraat                            ,"                €1,675 per month            ",61 m²2 roomsUpholstered or furnished
                        Apartment Insulindeweg                            ,"                €2,250 per month            ",85 m²3 roomsFurnished
                        Apartment Haarlemmermeerstraat                            ,"                €1,650 per month            ",63 m²3 roomsUpholstered
                        Apartment Spuistraat                            ,"                €2,100 per month            ",64 m²3 roomsUpholstered
                        Apartment Vogelenzangstraat 64 1                            ,"                €1,550 per month            ",60 m²2 roomsUpholstered
                        House B. Merkelbachsingel 519                            ,"                €1,950 per month            ",83 m²3 roomsFurnished
                        Apartment Overtoom 194 2                            ,"                €2,800 per month            ",95 m²3 roomsUpholstered or furnished
                        Apartment Hoofdweg                            ,"                €2,000 per month            ",54 m²3 roomsUpholstered
                        Apartment Weteringschans 91 bv                            ,"                €6,000 per month            ",240 m²5 roomsUpholstered
                        Apartment Eerste Jacob van Campenstraat                            ,"                €2,495 per month            ",85 m²3 roomsFurnished
                        Apartment Koninginneweg 156 1                            ,"                €2,950 per month            ",100 m²3 roomsUpholstered
                        Apartment Eerste Jan van der Heijdenstraat                            ,"                €1,645 per month            ",42 m²2 roomsFurnished
                        Apartment Brouwersgracht                            ,"                €3,500 per month            ",150 m²3 roomsFurnished
                        Apartment Pietersbergweg                            ,                €925 per month            ,47 m²2 roomsUpholstered
                        Apartment Albatrospad                            ,"                €1,900 per month            ",115 m²3 roomsFurnished
                        Apartment Da Costastraat                            ,"                €1,650 per month            ",55 m²2 roomsFurnished
                        Apartment Marnixkade                            ,"                €1,900 per month            ",56 m²3 roomsUpholstered
                        Apartment Hugo de Grootkade 72 F                            ,"                €2,250 per month            ",90 m²3 roomsUpholstered
                        Apartment Pietersbergweg                            ,"                €1,475 per month            ",92 m²3 roomsUpholstered
                        Apartment Nieuwegrachtje 3 II                            ,"                €2,750 per month            ",87 m²3 roomsUpholstered
                        Apartment Keizersgracht 804 BV                            ,"                €4,500 per month            ",188 m²4 roomsUpholstered
                        Apartment Orteliusstraat                            ,"                €2,400 per month            ",110 m²4 roomsFurnished
                        Apartment Sassenheimstraat                            ,"                €1,850 per month            ",64 m²3 roomsFurnished
                        Apartment Berenstraat 20 II                            ,"                €2,150 per month            ",59 m²3 roomsUpholstered
                        Apartment Van Spilbergenstraat                            ,"                €1,500 per month            ",50 m²4 rooms1906-1930
                        Apartment Toldwarsstraat 18 hs                            ,"                €3,875 per month            ",110 m²5 roomsUpholstered
                        Apartment Graafschapstraat 22                            ,"                €2,450 per month            ",95 m²3 roomsFurnished
                        Apartment Ridderspoorweg                            ,"                €3,750 per month            ",140 m²2 roomsFurnished
                        Apartment Plantage Muidergracht                            ,"                €3,500 per month            ",107 m²3 roomsUpholstered
